Rank,Country,"July 1, 2015
projection","% of
pop.",Average relative annual growth (%),"Average
absolute
annual
growth","Estimated
doubling
time
(Years)","Official
figure
(where
available)","Date of
last figure",Source
1,Brazil,"204,519,000",33.13,0.86,"1,750,000",81,"208,607,000","December 29, 2017",Official population clock
2,Mexico,"121,006,000",19.60,01.08,"1,293,000",65,"122,273,473","July 1, 2016",Official estimate
3,Colombia,"48,218,000",7.81,1.16,555,60,"49,540,000","December 29, 2017",Official population clock
4,Argentina,"43,132,000",6.99,01.09,463,64,"43,590,368","July 1, 2016",Official estimate
5,Peru,"31,153,000",05.05,1.10,338,64,"31,488,625","June 30, 2016",Official estimate
6,Venezuela,"30,620,000",4.96,1.37,414,51,"31,028,637",2016,Official estimate
7,Chile,"18,006,000",2.92,01.05,187,66,"18,191,884",2016,Official estimate
8,Ecuador,"16,279,000",2.64,1.57,252,44,"16,917,500","December 29, 2017",Official population clock
9,Guatemala,"16,176,000",2.62,2.93,461,24,"16,176,133","July 1, 2015",Official estimate
10,Cuba,"11,252,000",1.82,0.25,28,278,"11,238,317","December 31, 2014",Official estimate
11,Haiti,"10,994,000",1.78,2.31,248,30,"10,911,819",2015,Official estimate
12,Bolivia,"10,520,000",1.70,1.73,179,40,"10,985,059",2016,Official estimate
13,Dominican Republic,"9,980,000",1.62,0.98,97,71,"10,075,045",2016,Official estimate
14,Honduras,"8,950,000",1.45,2.29,200,31,"8,576,500","July 1, 2015",Official estimate
15,Paraguay,"7,003,000",1.13,1.58,109,44,"6,854,536",2016,Official estimate
16,Nicaragua,"6,514,000",01.06,2.37,151,30,"6,071,045","June 30, 2012",Official estimate
17,El Salvador,"6,460,000",01.05,0.92,59,76,"6,520,675",2016,Official estimate
18,Costa Rica,"4,851,000",0.79,1.63,78,43,"4,832,234","June 30, 2015",Official estimate
19,Panama,"3,764,000",0.61,1.37,51,51,"3,764,166","July 1, 2015",Official estimate
20,Puerto Rico,"3,508,000",0.57,-1.13,-40,-,"3,548,397","July 1, 2014",Official estimate
21,Uruguay,"3,310,000",0.54,0.18,6,382,"3,480,222","June 30, 2016",Official estimate
22,French Guiana,262,0.04,2.75,7,26,"239,648","January 1, 2012",Official estimate